instance,vehicles_ort,dist_ort,objective_cost,capacity,horizon,feasible_ort,tag,time_limit,meta,vehicle_cost,family_x,objective_ort,family_y,vehicles_base,dist_base,family,delta_dist,pct_improve,delta_veh
C101,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0,C,10,878.362,C,-49.361999999999966,5.619778633410823,0
C102,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0,C,10,1014.542,C,-185.54200000000003,18.28825223598432,0
C103,10,828.0,828.0,200,1236,True,TL30_MTABU_V0,30,TABU,0,C,828.0,C,11,1262.756,C,-434.7560000000001,34.42913753725978,-1
C104,10,842.0,842.0,200,1236,True,TL60_MGLS_V0,60,GLS,0,C,842.0,C,10,1171.828,C,-329.828,28.146451527015905,0
C105,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0,C,10,934.356,C,-105.356,11.275787815350892,0
C106,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0,C,10,1032.703,C,-203.70299999999997,19.72522593620818,0
C107,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0,C,10,934.356,C,-105.356,11.275787815350892,0
C108,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0,C,11,1269.003,C,-440.00299999999993,34.67312528023968,-1
C109,10,829.0,829.0,200,1236,True,TL10_MGLS_V0,10,GLS,0,C,829.0,C,10,1107.547,C,-278.547,25.14990334495963,0
C201,10,963.0,963.0,200,3390,True,TL60_MTABU_V0,60,TABU,0,C,963.0,C,10,1210.044,C,-247.0440000000001,20.41611709987406,0
C202,10,955.0,955.0,200,3390,True,TL60_MGLS_V0,60,GLS,0,C,955.0,C,10,1202.993,C,-247.99299999999994,20.614666918261367,0
C203,10,953.0,953.0,200,3390,True,TL60_MGLS_V0,60,GLS,0,C,953.0,C,10,1347.518,C,-394.51800000000003,29.27738256557612,0
C204,10,939.0,939.0,200,3390,True,TL60_MGLS_V0,60,GLS,0,C,939.0,C,10,1280.145,C,-341.145,26.64893430041128,0
C205,10,952.0,952.0,200,3390,True,TL60_MTABU_V0,60,TABU,0,C,952.0,C,10,1327.728,C,-375.72800000000007,28.298567176409627,0
C206,10,961.0,961.0,200,3390,True,TL10_MGLS_V0,10,GLS,0,C,961.0,C,10,1172.607,C,-211.60699999999997,18.04585850161222,0
C207,10,949.0,949.0,200,3390,True,TL60_MGLS_V0,60,GLS,0,C,949.0,C,10,1281.909,C,-332.9090000000001,25.96978412664238,0
C208,10,942.0,942.0,200,3390,True,TL60_MGLS_V0,60,GLS,0,C,942.0,C,10,1320.202,C,-378.202,28.647282764304247,0
R103,15,1208.0,1208.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,1208.0,R,17,1825.544,R,-617.5440000000001,33.827943889602224,-2
R104,11,988.0,988.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,988.0,R,11,1257.463,R,-269.46299999999997,21.429099703132415,0
R106,13,1243.0,1243.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,1243.0,R,16,1796.607,R,-553.607,30.81402888890002,-3
R107,11,1072.0,1072.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,1072.0,R,14,1598.799,R,-526.799,32.94967034630369,-3
R108,10,973.0,973.0,200,230,True,TL30_MGLS_V0,30,GLS,0,R,973.0,R,11,1253.493,R,-280.49299999999994,22.37690996279995,-1
R109,13,1165.0,1165.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,1165.0,R,14,1540.607,R,-375.60699999999997,24.380455236150425,-1
R110,12,1115.0,1115.0,200,230,True,TL60_MTABU_V0,60,TABU,0,R,1115.0,R,15,1671.843,R,-556.8430000000001,33.3071347010455,-3
R111,12,1091.0,1091.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,1091.0,R,14,1580.005,R,-489.0050000000001,30.949585602577216,-2
R112,11,989.0,989.0,200,230,True,TL60_MGLS_V0,60,GLS,0,R,989.0,R,12,1405.221,R,-416.221,29.61961143478499,-1
R201,9,1161.0,1161.0,200,1000,True,TL60_MGLS_V0,60,GLS,0,R,1161.0,R,9,1606.737,R,-445.7370000000001,27.74175238386868,0
R202,8,1053.0,1053.0,200,1000,True,TL60_MGLS_V0,60,GLS,0,R,1053.0,R,8,1588.118,R,-535.1179999999999,33.695103260588944,0
R203,9,935.0,935.0,200,1000,True,TL60_MGLS_V0,60,GLS,0,R,935.0,R,8,1452.873,R,-517.873,35.64475353317186,1
R204,8,855.0,855.0,200,1000,True,TL30_MGLS_V0,30,GLS,0,R,855.0,R,8,1091.124,R,-236.12400000000002,21.640436833943713,0
R205,8,1011.0,1011.0,200,1000,True,TL30_MGLS_V0,30,GLS,0,R,1011.0,R,8,1426.214,R,-415.21399999999994,29.113022309414994,0
R206,8,961.0,961.0,200,1000,True,TL30_MGLS_V0,30,GLS,0,R,961.0,R,8,1494.905,R,-533.905,35.71497854378706,0
R207,8,899.0,899.0,200,1000,True,TL60_MTABU_V0,60,TABU,0,R,899.0,R,8,1170.855,R,-271.855,23.218502718099167,0
R208,8,845.0,845.0,200,1000,True,TL60_MGLS_V0,60,GLS,0,R,845.0,R,8,1221.111,R,-376.1110000000001,30.800721637918265,0
R209,8,966.0,966.0,200,1000,True,TL60_MGLS_V0,60,GLS,0,R,966.0,R,8,1439.954,R,-473.95399999999995,32.91452365839464,0
R210,8,959.0,959.0,200,1000,True,TL30_MGLS_V0,30,GLS,0,R,959.0,R,8,1216.901,R,-257.90100000000007,21.193260585700894,0
R211,8,853.0,853.0,200,1000,True,TL30_MGLS_V0,30,GLS,0,R,853.0,R,8,1267.116,R,-414.116,32.68177499139779,0
RC103,13,1340.0,1340.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1340.0,RC,14,1953.447,RC,-613.4469999999999,31.403309124844437,-1
RC104,11,1205.0,1205.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1205.0,RC,13,1697.103,RC,-492.10300000000007,28.99664899537624,-2
RC106,14,1399.0,1399.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1399.0,RC,15,1851.026,RC,-452.02600000000007,24.42029447452386,-1
RC107,12,1225.0,1225.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1225.0,RC,14,1780.528,RC,-555.528,31.200183316409515,-2
RC108,11,1139.0,1139.0,200,240,True,TL60_MGLS_V0,60,GLS,0,RC,1139.0,RC,14,1694.264,RC,-555.2639999999999,32.773168762365245,-3
RC201,9,1348.0,1348.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1348.0,RC,9,1938.93,RC,-590.9300000000001,30.477118823268505,0
RC202,10,1196.0,1196.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1196.0,RC,10,1707.81,RC,-511.80999999999995,29.968790439217475,0
RC203,10,1093.0,1093.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1093.0,RC,9,1489.26,RC,-396.26,26.607845507164633,1
RC204,9,1042.0,1042.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1042.0,RC,9,1354.573,RC,-312.5730000000001,23.075389809187108,0
RC205,10,1240.0,1240.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1240.0,RC,9,1661.873,RC,-421.87300000000005,25.385393468694662,1
RC206,9,1174.0,1174.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1174.0,RC,9,1893.329,RC,-719.329,37.992815828627776,0
RC207,9,1212.0,1212.0,200,960,True,TL10_MGLS_V0,10,GLS,0,RC,1212.0,RC,9,1527.216,RC,-315.2159999999999,20.6399094823522,0
RC208,9,1047.0,1047.0,200,960,True,TL60_MGLS_V0,60,GLS,0,RC,1047.0,RC,9,1396.045,RC,-349.0450000000001,25.002417543847088,0
