instance,family,method,det_distance,distance,delta_dist_pct,det_on_mean,ch_on_mean,delta_on_pp,ch_on_p50,ch_on_p95,vehicles,runtime_s,runtime_flag,meets_A,meets_B,meets_any
C101,C,saa16-b0p3,829.0,890.0,7.3582629674306395,20.0,,,100.0,100.0,10.0,,False,False,False,False
C102,C,saa16-b0p3,829.0,886.0,6.875753920386007,31.0,,,100.0,100.0,10.0,,False,False,False,False
C103,C,saa16-b0p3,868.0,916.0,5.529953917050691,48.3,,,100.0,100.0,10.0,,False,False,False,False
C104,C,saa16-b0p3,859.0,858.0,-0.11641443538998836,70.565,,,100.0,100.0,10.0,,False,False,False,False
C105,C,saa16-b0p3,829.0,890.0,7.3582629674306395,20.005,,,100.0,100.0,10.0,,False,False,False,False
C106,C,saa16-b0p3,829.0,888.0,7.117008443908324,21.125,,,100.0,100.0,10.0,,False,False,False,False
C107,C,saa16-b0p3,829.0,881.0,6.272617611580217,21.0,,,100.0,100.0,10.0,,False,False,False,False
C108,C,saa16-b0p3,829.0,881.0,6.272617611580217,24.3,,,100.0,100.0,10.0,,False,False,False,False
C109,C,saa16-b0p3,829.0,903.0,8.926417370325694,33.25,,,100.0,100.0,10.0,,False,False,False,False
C201,C,saa16-b0p3,958.0,1025.0,6.993736951983299,29.965,,,100.0,100.0,10.0,,False,False,False,False
C202,C,saa16-b0p3,966.0,1023.0,5.900621118012422,56.96,,,100.0,100.0,10.0,,False,False,False,False
C203,C,saa16-b0p3,955.0,1015.0,6.282722513089006,67.92,,,100.0,100.0,10.0,,False,False,False,False
C204,C,saa16-b0p3,952.0,978.0,2.73109243697479,79.605,,,100.0,100.0,10.0,,False,False,False,False
C205,C,saa16-b0p3,962.0,1019.0,5.925155925155925,38.585,,,100.0,100.0,10.0,,False,False,False,False
C206,C,saa16-b0p3,947.0,1011.0,6.75818373812038,40.875,,,100.0,100.0,10.0,,False,False,False,False
C207,C,saa16-b0p3,946.0,993.0,4.968287526427061,39.565,,,100.0,100.0,10.0,,False,False,False,False
C208,C,saa16-b0p3,948.0,1017.0,7.2784810126582276,45.905,,,100.0,100.0,10.0,,False,False,False,False
R101,R,saa16-b0p3,,1781.0,,,,,99.0,100.0,20.0,,False,False,False,False
R102,R,saa16-b0p3,,1602.0,,,,,100.0,100.0,19.0,,False,False,False,False
R103,R,saa16-b0p3,1209.0,1310.0,8.354011579818032,33.415,,,99.0,100.0,15.0,,False,False,False,False
R104,R,saa16-b0p3,987.0,1106.0,12.056737588652481,34.79,,,99.5,100.0,10.0,,False,False,False,False
R105,R,saa16-b0p3,,1488.0,,,,,100.0,100.0,15.0,,False,False,False,False
R106,R,saa16-b0p3,1238.0,1327.0,7.189014539579968,33.85,,,100.0,100.0,13.0,,False,False,False,False
R107,R,saa16-b0p3,1088.0,1183.0,8.731617647058824,34.45,,,100.0,100.0,11.0,,False,False,False,False
R108,R,saa16-b0p3,960.0,1059.0,10.3125,40.305,,,100.0,100.0,10.0,,False,False,False,False
R109,R,saa16-b0p3,1185.0,1292.0,9.029535864978904,25.17,,,100.0,100.0,13.0,,False,False,False,False
R110,R,saa16-b0p3,1132.0,1207.0,6.625441696113074,26.84,,,100.0,100.0,12.0,,False,False,False,False
R111,R,saa16-b0p3,1073.0,1169.0,8.946877912395154,41.99,,,99.0,100.0,12.0,,False,False,False,False
R112,R,q120,966.0,1069.0,10.662525879917185,41.565,,,100.0,100.0,12.0,,False,False,False,False
R201,R,saa16-b0p3,1195.0,1270.0,6.2761506276150625,24.925,,,100.0,100.0,8.0,,False,False,False,False
R202,R,saa16-b0p3,1073.0,1171.0,9.133271202236719,39.385,,,100.0,100.0,8.0,,False,False,False,False
R203,R,saa16-b0p3,957.0,1024.0,7.001044932079415,54.04,,,100.0,100.0,8.0,,False,False,False,False
R204,R,saa16-b0p3,843.0,930.0,10.320284697508896,84.8,,,100.0,100.0,8.0,,False,False,False,False
R205,R,saa16-b0p3,1018.0,1111.0,9.135559921414538,30.9,,,100.0,100.0,8.0,,False,False,False,False
R206,R,saa16-b0p3,962.0,1042.0,8.316008316008316,50.06,,,100.0,100.0,8.0,,False,False,False,False
R207,R,saa16-b0p3,904.0,960.0,6.1946902654867255,69.055,,,100.0,100.0,8.0,,False,False,False,False
R208,R,saa16-b0p3,846.0,905.0,6.973995271867612,79.735,,,100.0,100.0,8.0,,False,False,False,False
R209,R,saa16-b0p3,948.0,1037.0,9.388185654008439,41.355,,,100.0,100.0,8.0,,False,False,False,False
R210,R,saa16-b0p3,982.0,1034.0,5.295315682281059,46.945,,,100.0,100.0,8.0,,False,False,False,False
R211,R,saa16-b0p3,859.0,921.0,7.217694994179278,67.19,,,100.0,100.0,8.0,,False,False,False,False
RC101,RC,saa16-b0p3,,1792.0,,,,,99.0,100.0,16.0,,False,False,False,False
RC102,RC,saa16-b0p3,,1667.0,,,,,100.0,100.0,14.0,,False,False,False,False
RC103,RC,saa16-b0p3,1341.0,1379.0,2.8337061894108873,37.3,,,100.0,100.0,12.0,,False,False,False,False
RC104,RC,saa16-b0p3,1188.0,1277.0,7.491582491582491,44.435,,,100.0,100.0,11.0,,False,False,False,False
RC105,RC,saa16-b0p3,,1711.0,,,,,99.0,100.0,15.0,,False,False,False,False
RC106,RC,saa16-b0p3,1400.0,1533.0,9.5,29.1,,,99.5,100.0,14.0,,False,False,False,False
RC107,RC,saa16-b0p3,1254.0,1355.0,8.054226475279107,24.925,,,99.0,100.0,12.0,,False,False,False,False
RC108,RC,q120,1170.0,1367.0,16.837606837606838,38.185,,,100.0,100.0,13.0,,False,False,False,False
RC201,RC,saa16-b0p3,1448.0,1495.0,3.24585635359116,23.39,,,100.0,100.0,9.0,,False,False,False,False
RC202,RC,saa16-b0p3,1291.0,1341.0,3.8729666924864445,42.54,,,100.0,100.0,9.0,,False,False,False,False
RC203,RC,saa16-b0p3,1123.0,1184.0,5.431878895814782,61.105,,,100.0,100.0,9.0,,False,False,False,False
RC204,RC,saa16-b0p3,1043.0,1127.0,8.053691275167786,72.51,,,100.0,100.0,9.0,,False,False,False,False
RC205,RC,saa16-b0p3,1283.0,1463.0,14.029618082618862,28.35,,,100.0,100.0,9.0,,False,False,False,False
RC206,RC,saa16-b0p3,1240.0,1279.0,3.1451612903225805,32.095,,,100.0,100.0,9.0,,False,False,False,False
RC207,RC,saa16-b0p3,1161.0,1220.0,5.0818260120585705,38.98,,,100.0,100.0,9.0,,False,False,False,False
RC208,RC,saa16-b0p3,1018.0,1080.0,6.090373280943026,72.975,,,100.0,100.0,9.0,,False,False,False,False
